
# Run_ID	Elapsed(s)	User_CPU(s)	Sys_CPU(s)
1	1419.70	21311.64	4116.99
2	1433.07	21314.13	4119.84
3	1444.28	21360.55	4142.01
4	1450.37	21328.49	4154.08
5	1451.78	21340.23	4163.19
6	1457.35	21251.77	4174.52
7	1455.47	21241.80	4168.74
8	1456.74	21256.70	4177.99
9	1464.16	21311.26	4188.38
10	1461.31	21298.83	4185.24
