
# Run_ID	Elapsed(s)	User_CPU(s)	Sys_CPU(s)
1	21389.10	15352.72	6032.42
2	21397.11	15386.89	6006.68
3	21356.43	15345.34	6007.48
4	21490.12	15429.45	6056.94
5	21396.44	15321.16	6071.40
6	21255.87	15268.35	5983.86
7	21458.17	15391.02	6063.44
8	21478.29	15422.18	6052.23
9	21413.02	15357.69	6051.56
10	21364.30	15344.63	6015.96
